time,user,sentiment,text
2/24/15 11:35,cairdin,neutral,@VirginAmerica What @dhepburn said.
2/24/15 11:15,jnardino,positive,@VirginAmerica plus you've added commercials to the experience... tacky.
2/24/15 11:15,yvonnalynn,neutral,@VirginAmerica I didn't today... Must mean I need to take another trip!
2/24/15 11:15,jnardino,negative,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse"
2/24/15 11:14,jnardino,negative,@VirginAmerica and it's a really big bad thing about it
2/24/15 11:14,jnardino,negative,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA"
2/24/15 11:13,cjmcginnis,positive,"@VirginAmerica yes, nearly every time I fly VX this â€œear wormâ€ù wonâ€™t go away :)"
2/24/15 11:12,pilot,neutral,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP"
2/24/15 11:11,dhepburn,positive,"@virginamerica Well, I didn'tâ€_but NOW I DO! :-D"
2/24/15 10:53,YupitsTate,positive,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me."
2/24/15 10:48,idk_but_youtube,neutral,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24
2/24/15 10:30,HyperCamiLax,positive,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D
2/24/15 10:30,HyperCamiLax,positive,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p
2/24/15 10:21,mollanderson,positive,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn
2/24/15 10:15,sjespers,positive,@VirginAmerica Thanks!
2/24/15 10:01,smartwatermelon,negative,@VirginAmerica SFO-PDX schedule is still MIA.
2/24/15 9:42,ItzBrianHunty,positive,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo
2/24/15 9:39,heatherovieda,negative,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!
2/24/15 9:15,thebrandiray,positive,I âù_ï¸è flying @VirginAmerica. â˜ºï¸è_Ÿ‘ç
2/24/15 9:04,JNLpierce,positive,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.
2/24/15 8:55,MISSGJ,negative,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???
2/24/15 8:49,DT_Les,positive,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA
2/24/15 8:30,ElvinaBeck,positive,@VirginAmerica I love the hipster innovation. You are a feel good brand.
2/24/15 8:27,rjlynch21086,neutral,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?
2/24/15 8:18,ayeevickiee,negative,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... _Ÿ˜¡ I want free internet
2/24/15 7:49,Leora13,negative,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.
2/24/15 7:11,meredithjlynn,negative,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail
2/24/15 5:44,AdamSinger,neutral,@VirginAmerica do you miss me? Don't worry we'll be together very soon.
2/24/15 5:05,blackjackpro911,negative,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS
2/23/15 23:34,TenantsUpstairs,neutral,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix
2/23/15 22:52,jordanpichler,negative,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems _Ÿ˜¢"
2/23/15 21:35,JCervantezzz,neutral,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?
2/23/15 21:10,Cuschoolie1,negative,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!"
2/23/15 20:55,amanduhmccarty,negative,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :("
2/23/15 20:24,NorthTxHomeTeam,positive,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews
2/23/15 18:46,miaerolinea,neutral,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP
2/23/15 18:43,Nicsplace,positive,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. _Ÿ’œâœˆ #MoodlitMonday
2/23/15 18:19,Nicsplace,positive,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!"
2/23/15 17:54,elisha_malulani,neutral,@VirginAmerica when can I book my flight to Hawaii??
2/23/15 17:41,DannyDouglass,negative,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk
2/23/15 17:32,jamesferrandini,positive,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr"
2/23/15 17:00,will_lenzenjr,negative,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?"
2/23/15 16:24,GottAmanda,neutral,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  _Ÿç·_Ÿ‘ç_Ÿ’ºâœˆï¸è
2/23/15 16:20,KGervaise,neutral,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp
2/23/15 16:13,papamurat,neutral,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?
2/23/15 16:08,arieldaie,positive,@VirginAmerica I'm #elevategold for a good reason: you rock!!
2/23/15 16:04,vacations7,neutral,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx
2/23/15 16:01,ChelseaPoe666,positive,@VirginAmerica wow this just blew my mind
2/23/15 16:01,BobGlavinVO,neutral,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree
2/23/15 15:58,lisaaiko,neutral,@VirginAmerica @ladygaga @carrieunderwood All were entertaining
2/23/15 15:55,grantbrowne,neutral,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks."
2/23/15 15:46,joyabsalon,positive,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood
2/23/15 15:36,2v,neutral,@VirginAmerica wish you flew out of Atlanta... Soon?
2/23/15 15:24,KSmithFoundHere,neutral,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.
2/23/15 15:19,papamurat,neutral,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?
2/23/15 15:05,murphicus,negative,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!
2/23/15 15:04,VinnieFerra,positive,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures
2/23/15 14:40,KevinDemsi,positive,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! _Ÿ˜_
2/23/15 14:40,giffgaffman,neutral,@VirginAmerica @ladygaga @carrieunderwood - Carrie!
2/23/15 14:37,HanlonBrothers,neutral,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?
2/23/15 14:36,emilybg78,neutral,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.
2/23/15 14:35,rachie1126,negative,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!
2/23/15 14:30,adawson66,neutral,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood _Ÿ˜ç_Ÿ‘Œ"
2/23/15 14:26,SocialPLC,neutral,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!"
2/23/15 14:25,jeffreymace01,positive,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!
2/23/15 14:09,1stcrown,neutral,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.
2/23/15 13:46,onerockgypsy,negative,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/
2/23/15 13:35,noelduan,negative,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?"
2/23/15 13:30,Travelzoo,positive,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV
2/23/15 13:08,gianagon,negative,@VirginAmerica everything was fine until you lost my bag
2/23/15 12:47,bxchen,neutral,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?
2/23/15 12:00,seimatrun,neutral,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.
2/23/15 11:56,jamied7,neutral,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?"
2/23/15 11:46,seimatrun,negative,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt
2/23/15 11:32,mrmichaellay,positive,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this."
2/23/15 11:28,TaylorLumsden,positive,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?
2/23/15 11:24,campusmoviefest,neutral,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF"
2/23/15 11:22,TaylorLumsden,neutral,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks
2/23/15 11:02,meme_meng,negative,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.
2/23/15 10:58,kyle_romanoff,neutral,@VirginAmerica what happened to Doom?!
2/23/15 10:56,GunsNDip,negative,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness
2/23/15 10:56,artisticwritr87,positive,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G
2/23/15 10:54,arieldaie,negative,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(
2/23/15 10:54,GunsNDip,negative,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness
2/23/15 10:38,GunsNDip,negative,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin
2/23/15 10:29,jsatk,negative,@VirginAmerica Iâ€™m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R
2/23/15 10:15,serenaklal,neutral,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code
2/23/15 10:09,openambit1,neutral,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4
2/23/15 10:04,cabowine,neutral,@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?
2/23/15 9:57,MaryAnnTaylorT,negative,@VirginAmerica Why is the site down?  When will it be back up?
2/23/15 9:45,RamotControl,neutral,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!"""
2/23/15 9:35,losermelon,neutral,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?"
2/23/15 9:29,AlisonK33774854,negative,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .
2/23/15 9:28,GunsNDip,negative,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin"
2/23/15 9:26,yazdanagh,neutral,@VirginAmerica why is flight 345 redirected?
2/23/15 9:25,MerchEngines,negative,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign."
2/23/15 9:18,ColorCartel,negative,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y
2/23/15 9:11,MustBeSpoken,negative,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable
2/23/15 8:29,mattbunk,negative,@virginamerica What is your phone number. I can't find who to call about a flight reservation.
2/23/15 8:19,louisjenny,negative,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.
2/23/15 8:19,STravelsW,neutral,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM
2/23/15 8:11,GunsNDip,negative,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax
2/23/15 8:08,joeyrenagade,neutral,@VirginAmerica check out new music http://t.co/maRcnOCWzn
2/23/15 8:08,mrmichaellay,negative,@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky
2/23/15 7:51,GunsNDip,negative,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.
2/23/15 7:50,TheDuchessSF,positive,"@VirginAmerica - amazing customer  service, again! _Ÿ’•_Ÿ’• RaeAnn in SF - she's the best! #customerservice #virginamerica #flying"
2/23/15 7:40,BeLeather,negative,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm
2/23/15 7:40,BeLeather,negative,@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.
2/23/15 7:28,drcaseydrake,neutral,@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?
2/23/15 6:57,flyfromWAS,positive,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare"
2/23/15 6:57,flyfromSEA,neutral,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare"
2/23/15 6:57,flyfromNYC,positive,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare"
2/23/15 6:57,flyfromLAX,neutral,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare"
2/23/15 6:51,Silvanabfer,positive,@VirginAmerica Have a great week _ŸŒ_âœˆ
2/23/15 6:07,AdamJdubs,positive,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH
