strain,length,country,year,lon,lat,date
AB434107,1701,Japan,2002,137.215474187347,35.5841761876056,2002/02/25
AB434108,1701,Japan,2002,137.215474187347,35.5841761876056,2002/03/01
CY000113,1762,USA,2002,-73.94,40.67,2002/01/29
CY000209,1760,USA,2002,-73.94,40.67,2002/01/17
CY000217,1760,USA,2002,-73.94,40.67,2002/02/26
CY000225,1760,USA,2002,-73.94,40.67,2002/01/22
CY000233,1762,USA,2002,-73.94,40.67,2002/01/31
CY000241,1762,USA,2002,-73.94,40.67,2002/02/26
CY000281,1760,USA,2002,-73.94,40.67,2002/03/01
CY000289,1741,USA,2002,-73.94,40.67,2002/01/18
CY000297,1711,USA,2002,-73.94,40.67,2002/01/18
CY000313,1732,USA,2002,-73.94,40.67,2002/02/12
CY000329,1741,USA,2002,-73.94,40.67,2002/02/06
CY000337,1760,USA,2002,-73.94,40.67,2002/02/14
CY000393,1711,USA,2002,-73.94,40.67,2002/01/08
CY000401,1711,USA,2002,-73.94,40.67,2002/01/12
CY000409,1711,USA,2002,-73.94,40.67,2002/02/06
CY000417,1711,USA,2002,-73.94,40.67,2002/01/25
CY000425,1760,USA,2002,-73.94,40.67,2002/01/25
CY000433,1760,USA,2002,-73.94,40.67,2002/01/27
CY000441,1760,USA,2002,-73.94,40.67,2002/01/04
CY000489,1760,USA,2002,-73.94,40.67,2002/01/20
CY000497,1760,USA,2002,-73.94,40.67,2002/01/31
CY000529,1760,USA,2002,-73.94,40.67,2002/01/30
CY000537,1761,USA,2002,-73.94,40.67,2002/03/05
CY000545,1741,USA,2002,-73.94,40.67,2002/02/07
CY000553,1741,USA,2002,-73.94,40.67,2002/01/30
CY000585,1762,USA,2002,-73.94,40.67,2002/03/11
CY000625,1718,USA,2002,-73.94,40.67,2002/02/19
CY000793,1762,USA,2002,-73.94,40.67,2002/02/01
CY000925,1711,USA,2002,-73.94,40.67,2002/02/19
CY000933,1743,USA,2002,-73.94,40.67,2002/02/04
CY000941,1762,USA,2002,-73.94,40.67,2002/01/29
CY001072,1733,USA,2002,-73.94,40.67,2002/02/26
CY001080,1762,USA,2002,-73.94,40.67,2002/01/23
CY001104,1711,USA,2002,-73.94,40.67,2002/02/04
CY001128,1711,USA,2002,-73.94,40.67,2002/02/05
CY001144,1730,USA,2002,-73.94,40.67,2002/01/16
CY001152,1741,USA,2002,-73.94,40.67,2002/01/19
CY001184,1711,USA,2002,-73.94,40.67,2002/01/17
CY001197,1741,USA,2002,-73.94,40.67,2002/03/21
CY001237,1711,USA,2002,-73.94,40.67,2002/03/19
CY001261,1711,USA,2002,-73.94,40.67,2002/02/19
CY001301,1736,USA,2002,-73.94,40.67,2002/02/12
CY001309,1719,USA,2002,-73.94,40.67,2002/02/13
CY001317,1759,USA,2002,-73.94,40.67,2002/01/23
CY001325,1741,USA,2002,-73.94,40.67,2002/01/29
CY001333,1754,USA,2002,-73.94,40.67,2002/01/30
CY001429,1711,USA,2002,-73.94,40.67,2002/01/11
CY001437,1718,USA,2002,-73.94,40.67,2002/01/14
CY001728,1760,USA,2002,-73.94,40.67,2002/02/26
CY001736,1760,USA,2002,-73.94,40.67,2002/03/07
CY001944,1714,USA,2002,-73.94,40.67,2002/03/01
CY002128,1741,USA,2002,-73.94,40.67,2002/01/04
CY003096,1760,USA,2002,-73.94,40.67,2002/01/04
CY003104,1761,USA,2002,-73.94,40.67,2002/01/05
CY003112,1750,USA,2002,-73.94,40.67,2002/01/07
CY003120,1762,USA,2002,-73.94,40.67,2002/01/08
CY003136,1762,USA,2002,-73.94,40.67,2002/01/14
CY003144,1761,USA,2002,-73.94,40.67,2002/01/15
CY003152,1749,USA,2002,-73.94,40.67,2002/01/22
CY003160,1741,USA,2002,-73.94,40.67,2002/02/01
CY003168,1750,USA,2002,-73.94,40.67,2002/02/08
CY003176,1751,USA,2002,-73.94,40.67,2002/02/12
CY003184,1737,USA,2002,-73.94,40.67,2002/02/22
CY003192,1760,USA,2002,-73.94,40.67,2002/02/28
CY003200,1762,USA,2002,-73.94,40.67,2002/01/16
CY003208,1737,USA,2002,-73.94,40.67,2002/01/18
CY003424,1750,USA,2002,-73.94,40.67,2002/01/08
CY003777,1762,USA,2002,-73.94,40.67,2002/01/28
CY013805,1724,USA,2002,-73.94,40.67,2002/02/01
DQ167252,984,Finland,2002,24.9257182762545,61.7429917907309,2002/12
DQ167253,984,Finland,2002,24.9257182762545,61.7429917907309,2002/12
DQ167255,984,Finland,2002,24.9257182762545,61.7429917907309,2002/12
DQ167256,984,Finland,2002,24.9257182762545,61.7429917907309,2002/12
DQ167257,984,Finland,2002,24.9257182762545,61.7429917907309,2002/12
DQ167258,984,Finland,2002,24.9257182762545,61.7429917907309,2002/12
DQ865966,987,China,2002,115.751455877455,33.8178483868483,2002/08/11
EF456797,987,Japan,2002,137.215474187347,35.5841761876056,2002/12/25
EF467827,987,Japan,2002,137.215474187347,35.5841761876056,2002/11/26
EF473481,1033,South Korea,2002,127.515099340408,36.639213467055,2002/12/02
EF541397,1042,China,2002,115.751455877455,33.8178483868483,2002/08/11
EF670487,1144,Norway,2002,9.85276744477849,60.9600065235272,2002/01/17
EU501145,987,South Korea,2002,127.515099340408,36.639213467055,2002/11/29
EU501146,987,South Korea,2002,127.515099340408,36.639213467055,2002/11/20
EU501147,987,South Korea,2002,127.515099340408,36.639213467055,22/11/26
EU501149,987,South Korea,2002,127.515099340408,36.639213467055,2002/11/27
EU501153,987,China,2002,115.751455877455,33.8178483868483,2002/08/11
EU501154,987,Japan,2002,137.215474187347,35.5841761876056,2002/02/23
EU501155,987,South Korea,2002,127.515099340408,36.639213467055,2002/11/14
EU501156,987,Japan,2002,137.215474187347,35.5841761876056,2002/11/26
EU501157,987,Japan,2002,137.215474187347,35.5841761876056,2002/12/25
EU501158,987,South Korea,2002,127.515099340408,36.639213467055,2002/10/31
EU501159,987,South Korea,2002,127.515099340408,36.639213467055,2002/11/18
EU501170,987,South Korea,2002,127.515099340408,36.639213467055,2002/11/20
EU501184,987,Taiwan,2002,120.967443330781,24.2464318735026,2002/09/25
EU502438,987,France,2002,2.81490078363661,47.2569278333929,2002/10/15
EU502458,987,Latvia,2002,24.2990199636907,56.8364272452475,2002/12/23
EU502483,987,France,2002,2.81490078363661,47.2569278333929,2002/12/01
EU502487,987,Netherlands,2002,5.2518493354918,52.0744708572984,2002/12/10
EU502521,987,Bulgaria,2002,24.9671822837829,42.7531244512163,2002/11/02
EU514616,987,China,2002,115.751455877455,33.8178483868483,2002/01/01
EU514617,987,USA,2002,-89.93,30.07,2002/01/01
EU514618,987,USA,2002,-97.51,35.47,2002/01/04
EU514619,987,USA,2002,-111.93,40.78,2002/01/05
EU514620,987,USA,2002,-95.39,29.77,2002/01/06
EU514621,987,China,2002,115.751455877455,33.8178483868483,2002/01/07
EU514622,987,USA,2002,-95.39,29.77,2002/01/08
EU514623,987,China,2002,115.751455877455,33.8178483868483,2002/01/08
EU514624,987,China,2002,115.751455877455,33.8178483868483,2002/01/10
EU514625,987,China,2002,115.751455877455,33.8178483868483,2002/01/10
EU514626,987,China,2002,115.751455877455,33.8178483868483,2002/01/17
EU514628,987,USA,2002,-73.94,40.67,2002/01/23
EU514629,987,USA,2002,-73.2,41.19,2002/01/25
EU514630,987,USA,2002,-92.35,34.72,2002/01/28
EU514631,987,USA,2002,-71.02,42.34,2002/02/01
EU514632,987,USA,2002,-73.94,40.67,2002/02/04
EU514633,987,USA,2002,-73.94,40.67,2002/02/04
EU514634,987,USA,2002,-80.83,35.2,2002/02/21
EU514635,987,USA,2002,-87.68,41.84,2002/02/24
EU514636,987,USA,2002,-73.94,40.67,2002/02/25
EU514637,987,USA,2002,-73.94,40.67,2002/02/26
EU514638,987,USA,2002,-73.94,40.67,2002/02/27
EU514643,987,USA,2002,-77.02,38.91,2002/04/03
EU514645,987,USA,2002,-96.01,41.26,2002/04/17
EU514648,987,China,2002,115.751455877455,33.8178483868483,2002/05/14
EU514651,987,China,2002,115.751455877455,33.8178483868483,2002/06/15
EU514655,987,China,2002,115.751455877455,33.8178483868483,2002/07/23
EU514660,987,China,2002,115.751455877455,33.8178483868483,2002/08/20
EU514663,987,USA,2002,-73.94,40.67,2002/11/01
